 00Z 08 04 2017,  0.00 ,  16.81
 12Z 08 04 2017,  0.00 ,  14.81
 00Z 09 04 2017,  0.00 ,  13.24
 12Z 09 04 2017,  190.09 ,  16.70
 00Z 10 04 2017,  0.00 ,  15.67
 12Z 10 04 2017,  26.11 ,  14.65
 00Z 11 04 2017,  0.00 ,  13.36
 12Z 11 04 2017,  67.97 ,  13.87
 00Z 12 04 2017,  3.99 ,  13.64
 12Z 12 04 2017,  0.00 ,  9.02
 00Z 13 04 2017,  0.00 ,  8.05
 12Z 13 04 2017,  34.83 ,  13.13
 00Z 14 04 2017,  0.00 ,  11.75
 12Z 14 04 2017,  22.76 ,  15.92
 00Z 15 04 2017,  0.00 ,  10.08
 12Z 15 04 2017,  0.00 ,  10.28
 00Z 16 04 2017,  5.17 ,  8.85
 12Z 16 04 2017,  128.95 ,  9.98
 00Z 17 04 2017,  0.00 ,  13.05
 12Z 17 04 2017,  0.00 ,  15.17
 00Z 18 04 2017,  0.00 ,  18.44
 12Z 18 04 2017,  119.31 ,  20.18
 00Z 19 04 2017,  0.00 ,  17.88
 12Z 19 04 2017,  0.00 ,  17.03
 00Z 20 04 2017,  0.69 ,  10.38
 12Z 20 04 2017,  0.00 ,  5.57
 00Z 21 04 2017,  0.00 ,  7.62
 12Z 21 04 2017,  0.00 ,  9.36
 00Z 22 04 2017,  0.00 ,  15.35
 12Z 22 04 2017,  3.81 ,  9.74
 00Z 23 04 2017,  0.00 ,  15.59
 12Z 23 04 2017,  0.00 ,  17.36
 00Z 24 04 2017,  0.00 ,  18.97
 12Z 24 04 2017,  26.77 ,  10.75
 00Z 25 04 2017,  0.00 ,  10.36
 12Z 25 04 2017,  203.89 ,  8.77
 00Z 26 04 2017,  34.77 ,  8.92
 12Z 26 04 2017,  0.00 ,  9.21
 00Z 27 04 2017,  0.00 ,  9.15
 12Z 27 04 2017,  0.00 ,  6.85
 00Z 28 04 2017,  0.00 ,  9.37
 12Z 28 04 2017,  0.00 ,  8.98
 00Z 29 04 2017,  0.00 ,  11.80
 12Z 29 04 2017,  0.00 ,  13.62
 00Z 30 04 2017,  0.00 ,  16.08
 12Z 30 04 2017,  0.00 ,  9.77
 00Z 01 05 2017,  0.00 ,  12.19
 12Z 01 05 2017,  0.00 ,  14.02
 00Z 02 05 2017,  0.00 ,  18.70
 12Z 02 05 2017,  1175.49 ,  21.15
 00Z 03 05 2017,  0.00 ,  16.25
 12Z 03 05 2017,  0.00 ,  13.21
 00Z 04 05 2017,  0.00 ,  15.24
 12Z 04 05 2017,  0.00 ,  11.94
 00Z 05 05 2017,  0.00 ,  18.10
 12Z 05 05 2017,  0.00 ,  7.57
 00Z 06 05 2017,  0.00 ,  7.83
 12Z 06 05 2017,  0.00 ,  9.73
 00Z 07 05 2017,  0.00 ,  9.63
 12Z 07 05 2017,  0.00 ,  9.83
 00Z 08 05 2017,  0.00 ,  17.56
 12Z 08 05 2017,  0.00 ,  15.19
 00Z 09 05 2017,  0.00 ,  22.00
 12Z 09 05 2017,  67.15 ,  20.03
 00Z 10 05 2017,  0.00 ,  21.93
 12Z 10 05 2017,  22.72 ,  20.15
 00Z 11 05 2017,  0.00 ,  13.97
 12Z 11 05 2017,  42.79 ,  9.73
 00Z 12 05 2017,  0.41 ,  11.21
 12Z 12 05 2017,  0.00 ,  11.74
 00Z 13 05 2017,  0.00 ,  17.67
 12Z 13 05 2017,  0.00 ,  13.85
 00Z 14 05 2017,  13.10 ,  17.90
 12Z 14 05 2017,  52.89 ,  17.21
 00Z 15 05 2017,  0.00 ,  19.72
 12Z 15 05 2017,  0.00 ,  21.79
 00Z 16 05 2017,  0.00 ,  21.47
 12Z 16 05 2017,  0.00 ,  19.84
 00Z 17 05 2017,  0.00 ,  21.24
 12Z 17 05 2017,  15.98 ,  19.93
 00Z 18 05 2017,  0.00 ,  22.63
 12Z 18 05 2017,  0.00 ,  19.47
 00Z 19 05 2017,  0.10 ,  16.27
 12Z 19 05 2017,  118.05 ,  19.59
 00Z 20 05 2017,  0.33 ,  27.49
 12Z 20 05 2017,  0.00 ,  26.91
 00Z 21 05 2017,  0.00 ,  24.30
 12Z 21 05 2017,  0.00 ,  21.37
 00Z 22 05 2017,  22.29 ,  24.93
 12Z 22 05 2017,  46.04 ,  21.75
 00Z 23 05 2017,  0.00 ,  11.56
 12Z 23 05 2017,  0.00 ,  9.49
 00Z 24 05 2017,  0.00 ,  12.00
 12Z 24 05 2017,  0.00 ,  15.28
 00Z 25 05 2017,  0.00 ,  17.27
 12Z 25 05 2017,  33.30 ,  15.79
 00Z 26 05 2017,  48.69 ,  19.68
 12Z 26 05 2017,  17.66 ,  15.44
 00Z 27 05 2017,  0.00 ,  16.99
 12Z 27 05 2017,  0.00 ,  15.06
